"Allele","D10S1248","D12S391","D1S1656","D22S1045","D2S441"
8,0,0,0,0,0.003
10,0.003,0,0.003,0,0.17
11,0.003,0,0.107,0.097,0.37
11.3,0,0,0,0,0.057
12,0.04,0,0.128,0.003,0.037
13,0.243,0,0.07,0.007,0.027
13.3,0,0,0,0,0.007
14,0.363,0,0.091,0.073,0.283
14.3,0,0,0.01,0,0
15,0.173,0.047,0.164,0.357,0.037
15.3,0,0,0.044,0,0
16,0.117,0.013,0.134,0.367,0.01
16.3,0,0,0.037,0,0
17,0.05,0.087,0.037,0.097,0
17.3,0,0.007,0.087,0,0
18,0.007,0.217,0.003,0,0
18.3,0,0.057,0.07,0,0
19,0,0.11,0,0,0
19.3,0,0.01,0.013,0,0
20,0,0.097,0,0,0
21,0,0.137,0,0,0
22,0,0.1,0,0,0
23,0,0.07,0,0,0
24,0,0.04,0,0,0
25,0,0.01,0,0,0
