"Allele","D10S1248","D12S391","D19S433","D1S1656","D22S1045","D2S1338","D2S441"
8,0,0,0,0.0039,0,0,0.002
9,0.0079,0,0,0.0039,0,0,0
10,0,0,9e-04,0.0039,0,0,0.2106
11,0,0,0.0038,0.0965,0.1535,0,0.315
11.3,0,0,0,0,0,0,0.0827
12,0.0236,0,0.0979,0.126,0.0157,0,0.0335
12.2,0,0,9e-04,0,0,0,0
12.3,0,0,0,0,0,0,0.002
13,0.2264,0,0.2608,0.0906,0.0039,0,0.0217
13.2,0,0,0.0132,0,0,0,0
14,0.2953,0,0.3051,0.0827,0.0492,0,0.2953
14.2,0,0,0.0283,0,0,0,0
15,0.2362,0.0433,0.1667,0.1221,0.3878,0,0.0335
15.2,0,0,0.0527,0,0,0,0
15.3,0,0,0,0.0492,0,0,0
16,0.1693,0.0138,0.0339,0.1339,0.3051,0.0443,0.0039
16.2,0,0,0.0254,0,0,0,0
16.3,0,0,0,0.0295,0,0,0
17,0.0374,0.0709,0.0028,0.0433,0.065,0.225,0
17.2,0,0,0.0028,0,0,0,0
17.3,0,0.0079,0,0.1378,0,0,0
18,0.0039,0.1634,0.0028,0.0039,0.0157,0.0923,0
18.2,0,0,9e-04,0,0,0,0
18.3,0,0.0354,0,0.0728,0,0,0
19,0,0.1417,0,0,0.0039,0.0895,0
19.2,0,0,9e-04,0,0,0,0
19.3,0,0.0157,0,0,0,0,0
20,0,0.1161,0,0,0,0.1469,0
20.3,0,0.0039,0,0,0,0,0
21,0,0.1142,0,0,0,0.0292,0
22,0,0.1299,0,0,0,0.0217,0
23,0,0.0866,0,0,0,0.1064,0
24,0,0.0394,0,0,0,0.1121,0
25,0,0.0138,0,0,0,0.1102,0
26,0,0.0039,0,0,0,0.0217,0
27,0,0,0,0,0,9e-04,0
